Name,Categories,Description,Short Description,SKU,Type,Parent,Regular price,Tax status,Tax class,In stock?,Stock,Photo color accent,Images,Note,Visual and packaging notes,Weight (kg),Shipping class
Red Bali,Red Vein Kratom,"<p><strong>'Red Bali Kratom Powder' Product Details (Q&amp;A)</strong></p>
<ul>
  <li>
    <p><strong>Q: What is Red Bali?</strong><br />
    <strong>A:</strong> Red Bali is a widely recognized kratom powder name in the botanical marketplace, generally referring to a “red vein” profile made from mature Mitragyna speciosa leaves and specific drying/curing methods that influence color and consistency.</p>
  </li>
  <li>
    <p><strong>Q: How are the strains sourced?</strong><br />
    <strong>A:</strong> Lots are sourced through regional farming and collection networks that focus on mature-leaf selection, careful handling, and batch traceability. Harvests are grouped by season and processing style to keep each batch consistent in appearance and alkaloid makeup.</p>
  </li>
  <li>
    <p><strong>Q: Where is it grown?</strong><br />
    <strong>A:</strong> Although “Bali” is a trade name, Red Bali is commonly associated with Indonesia’s equatorial growing regions, frequently linked with humid, fertile areas in <strong>Kalimantan (Borneo)</strong> and <strong>Sumatra</strong>, where rainfall and warmth support strong evergreen leaf development.</p>
  </li>
  <li>
    <p><strong>Q: What makes this strain unique?</strong><br />
    <strong>A:</strong> Red Bali is valued for its signature deep, earthy appearance and a typically robust alkaloid spectrum derived from <strong>mature leaf harvesting</strong> plus controlled post-harvest curing. (No therapeutic or medical claims are made.)</p>
  </li>
  <li>
    <p><strong>Q: How long does it take to cultivate Thai kratom trees?</strong><br />
    <strong>A:</strong> Under suitable tropical conditions, Mitragyna speciosa commonly needs about <strong>3 years</strong> of cultivation before dependable, repeatable harvesting is practical, with some growers citing closer to <strong>3–4 years</strong> for consistent harvest size.</p>
  </li>
  <li>
    <p><strong>Q: What is the after-harvesting process?</strong><br />
    <strong>A:</strong> Leaves are collected and inspected, then cleaned and dried under controlled conditions. Depending on the batch style, a curing step may be used to stabilize color and moisture before milling. The dried leaf is then ground, sifted, and prepared for final quality checks.</p>
  </li>
  <li>
    <p><strong>Q: How long does it take to cultivate Thai kratom trees?</strong><br />
    <strong>A:</strong> As a practical benchmark, expect roughly <strong>3 years</strong> to reach a reliable first harvest window, with ongoing harvests supported by continued tree care, pruning, and seasonal growing cycles.</p>
  </li>
  <li>
    <p><strong>Q: What is the microgrinding process?</strong><br />
    <strong>A:</strong> Dried leaf is milled in stages and microground to a fine, uniform powder for improved consistency, smoother texture, and more even batch blending.</p>
  </li>
  <li>
    <p><strong>Q: What is contaminant filtration?</strong><br />
    <strong>A:</strong> The powder goes through a thorough, <strong>supervisor-led contaminant filtration</strong> process designed to remove unwanted foreign material and ensure a clean, uniform final product.</p>
  </li>
  <li>
    <p><strong>Q: Is heavy metals testing performed?</strong><br />
    <strong>A:</strong> Yes. Each production batch goes through a thorough <strong>heavy metals testing</strong> stage as part of quality verification prior to release.</p>
  </li>
  <li>
    <p><strong>Q: Is microbial testing performed?</strong><br />
    <strong>A:</strong> Yes. Each production batch goes through a thorough <strong>microbial testing</strong> stage to verify it meets internal quality standards.</p>
  </li>
  <li>
    <p><strong>Q: Is this product intended for human consumption?</strong><br />
    <strong>A:</strong> <strong>No.</strong> This product is <strong>not intended for human consumption</strong>. It is sold for botanical reference, educational, or research purposes only. Keep out of reach of children and pets.</p>
  </li>
</ul>
<br />
<p><em>Note:</em> Descriptions focus on sourcing, processing, and quality controls only, and do not make medical or therapeutic claims.</p>
","<p><strong>Red Bali</strong> is a classic “red vein” kratom powder name used in the global botanical trade, commonly sourced from mature Mitragyna speciosa leaves cultivated in Indonesia’s humid equatorial growing zones (often associated with regions like Borneo/Kalimantan and Sumatra).<br /><br />
Our Red Bali lots are collected from established trees grown in warm, wet lowland conditions, then selectively harvested, cleaned, and carefully dried to preserve a consistent alkaloid spectrum. What makes Red Bali unique is its reputation for deep, earthy color and a robust, steady alkaloid profile derived from mature leaf selection and controlled post-harvest curing. Kratom trees typically require about <strong>3 years</strong> of cultivation before dependable harvesting begins.<br /><br />
Each batch is microground for uniform fineness, passed through supervisor-led contaminant filtration, and verified through heavy metals and microbial testing. <strong>Not intended for human consumption.</strong></p>
",RB,variable,RB,,taxable,,1,,warm tan-brown #A07848 — Visually verified: powder is warm golden-tan with slight green-brown undertone — NOT brick red. Red refers to leaf vein color only.,"https://leilaorganics.com/wp-content/uploads/2025/09/Comfort-Balm-Organic-Lip-Balm-by-Leila-Organics.png, https://leilaorganics.com/wp-content/uploads/2025/09/Lip-Balm-Closed-Cover.png, https://leilaorganics.com/wp-content/uploads/2025/09/Lip-Balm-Open-Cover.png",Configurable lip balm,,0.015,Regular
Red Bali<span> - </span>25g,Red Vein Kratom,,,RB25,variation,RB,,taxable,parent,1,,,,,,,
Red Bali<span> - </span>50g,Red Vein Kratom,,,RB50,variation,RB,,taxable,parent,1,,,,,,,
Red Bali<span> - </span>100g,Red Vein Kratom,,,RB100,variation,RB,,taxable,parent,1,,,,,,,
Red Bali<span> - </span>250g,Red Vein Kratom,,,RB250,variation,RB,,taxable,parent,1,,,,,,,
Red Bali<span> - </span>500g,Red Vein Kratom,,,RB500,variation,RB,,taxable,parent,1,,,,,,,
Red Maeng Da,Red Vein Kratom,"<p><strong>'Red Maeng Da Kratom Powder' Product Details (Q&amp;A)</strong></p>
<ul>
  <li>
    <p><strong>Q: What is Red Maeng Da?</strong><br />
    <strong>A:</strong> Red Maeng Da is a popular kratom powder name in the botanical marketplace. “Maeng Da” is commonly described as a Thai trade term associated with higher-grade leaf selection, and “Red” refers to a red-vein style profile shaped by leaf maturity and drying/curing choices.</p>
  </li>

  <li>
    <p><strong>Q: How are the strains sourced?</strong><br />
    <strong>A:</strong> Lots are sourced through regional farms and collector networks that emphasize mature-leaf picking, clean handling, and batch separation. Harvests are grouped by season and processing method to support consistent color, texture, and alkaloid profile from batch to batch.</p>
  </li>

  <li>
    <p><strong>Q: Where is it grown?</strong><br />
    <strong>A:</strong> While the naming has Thai roots, most large-scale Red Maeng Da supply is commonly sourced from Indonesia, especially the humid equatorial ecosystems of <strong>Borneo (Kalimantan)</strong> and <strong>Sumatra</strong>, where steady warmth and rainfall support vigorous evergreen leaf growth.</p>
  </li>

  <li>
    <p><strong>Q: What makes this strain unique?</strong><br />
    <strong>A:</strong> Red Maeng Da is often associated with a more “premium-grade” approach to selection and processing, typically aiming for a <strong>more concentrated and consistent alkaloid spectrum</strong> through mature-leaf grading and controlled drying/curing. (No therapeutic or medical claims are made.)</p>
  </li>

  <li>
    <p><strong>Q: How long does it take to cultivate Thai kratom trees?</strong><br />
    <strong>A:</strong> A common cultivation benchmark is about <strong>3–5 years</strong> for kratom trees (Mitragyna speciosa) to reach dependable maturity for consistent harvesting, depending on climate, soil, and care.</p>
  </li>

  <li>
    <p><strong>Q: What is the after-harvesting process?</strong><br />
    <strong>A:</strong> Leaves are collected and inspected, then cleaned and dried under controlled conditions. Some batches include additional curing steps to stabilize moisture and appearance before milling. Dried material is then ground, sifted, and prepared for final quality checks.</p>
  </li>

  <li>
    <p><strong>Q: How long does it take to cultivate Thai kratom trees?</strong><br />
    <strong>A:</strong> In practical production terms, growers often plan on roughly <strong>3–5 years</strong> before trees reach a stable harvest rhythm, with ongoing care and seasonal cycles influencing leaf yield and consistency.</p>
  </li>

  <li>
    <p><strong>Q: Microgrinding Process</strong><br />
    <strong>A:</strong> After primary milling, the dried leaf material is <strong>microground</strong> to achieve a fine, uniform powder, supporting smoother texture and more consistent blending across the batch.</p>
  </li>

  <li>
    <p><strong>Q: Contaminant Filtration</strong><br />
    <strong>A:</strong> The finished powder goes through a thorough, <strong>supervisor-led contaminant filtration</strong> process intended to remove unwanted foreign material and help ensure a clean, uniform final output.</p>
  </li>

  <li>
    <p><strong>Q: Heavy Metals Testing</strong><br />
    <strong>A:</strong> Each batch goes through a thorough <strong>heavy metals testing</strong> stage as part of quality verification prior to release.</p>
  </li>

  <li>
    <p><strong>Q: Microbial Testing</strong><br />
    <strong>A:</strong> Each batch goes through a thorough <strong>microbial testing</strong> stage to verify it meets internal quality standards.</p>
  </li>

  <li>
    <p><strong>Q: Is the product intended for human consumption?</strong><br />
    <strong>A:</strong> <strong>No.</strong> This product is <strong>not intended for human consumption</strong>. It is sold for botanical reference, educational, or research purposes only. Keep out of reach of children and pets.</p>
  </li>
</ul>
<br />
<p><em>Note:</em> This description focuses on sourcing, cultivation timelines, processing, and quality controls only, and does not make medical or therapeutic claims.</p>
","<p><strong>Red Maeng Da</strong> is a well-known “red vein” kratom powder name used in the botanical trade, traditionally linked to Thai-origin naming while most modern large-scale supply is sourced from Indonesia’s equatorial growing regions, especially Borneo (Kalimantan) and Sumatra.<br /><br />
Our Red Maeng Da lots are sourced through established farm and collector networks that prioritize mature-leaf selection, careful drying, and consistent batch handling. What makes this variety unique is its reputation for a more concentrated, tightly controlled alkaloid spectrum, driven by selective leaf grading and disciplined post-harvest processing (without any medical or therapeutic claims). Kratom trees typically require about <strong>3–5 years</strong> of cultivation before reliable, repeatable harvesting is practical.<br /><br />
After harvest, leaves are inspected, cleaned, dried, and milled, then microground to a uniform powder. Each batch goes through supervisor-led contaminant filtration plus heavy metals and microbial testing. <strong>Not intended for human consumption.</strong></p>
",RMD,variable,RMD,,taxable,,1,,slightly deeper tan-brown #8C6840 — Visually verified: marginally darker/richer than Red Bali but same warm tan-brown family — NOT dark burgundy.,,Uses the more expensive Damascus rose oil,,0.23,Regular
Red Maeng Da - 25g,Red Vein Kratom,,,RMD25,variation,RMD,,taxable,parent,1,,,,,,,
Red Maeng Da - 50g,Red Vein Kratom,,,RMD50,variation,RMD,,taxable,parent,1,,,,,,,
Red Maeng Da - 100g,Red Vein Kratom,,,RMD100,variation,RMD,,taxable,parent,1,,,,,,,
